ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
596294299,"Чай черный Richman Earl Grey крупный лист, 100г",https://online.metro-cc.ru/products/100g-chay-chernyy-richman-erl-grey-krupnyy-list,232,159,RICHMAN
216703,"Чай Greenfield Golden Ceylon черный (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-chernyj-golden-ceylon-100x2g,359,319,GREENFIELD
175179,"Чай Greenfield Earl Grey Fantasy черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/greenfield-chernyj-earl-grey-fantasy-100x2g,359,299,GREENFIELD
130619,"Чай Greenfield Green Melissa зеленый (1.5г х 100шт), 150г",https://online.metro-cc.ru/products/art_457730,359,299,GREENFIELD
171916,"Чай Tess Pleasure Шиповник и яблоко черный байховый (1.5г х 100шт), 150г",https://online.metro-cc.ru/products/tess-chernyj-bajhovyj-shipovnik-yabloko-pleasure-100-15g,359,239,TESS
463157,"Чай Greenfield Spring Melody (1.5г x 100шт), 150г",https://online.metro-cc.ru/products/greenfield-spring-melody-100-h-15-g,359,299,GREENFIELD
165164,"Чай Greenfield Kenyan Sunrise черный (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-chernyj-kenyan-sunrise-100x2g,359,299,GREENFIELD
638183,"Чай Althaus ассам для чайника черный (4г x 15шт), 60г",https://online.metro-cc.ru/products/15h4g-althaus-chernyj-assam-dlya-chajnika,849,799,ALTHAUS
167934,"Чай Greenfield Summer Bouquet травяной (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-travyanoj-summer-bouquet-100x2g,359,299,GREENFIELD
8910074,"Чай Richard Royal Tea Collection Набор, 230г",https://online.metro-cc.ru/products/chay-richard-royal-tea-collection-nabor-230g,689,589,RICHARD
506058,"Чай Tess Kenya черный байховый (2г x 100шт), 200г",https://online.metro-cc.ru/products/tess-kenya-chernyj-bajhovyj-100-2g,359,239,TESS
110854,"Чай Greenfield Flying Dragon зеленый (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-zelenyj-flying-dragon-100x2g,359,299,GREENFIELD
490819,"Чай Althaus Royal Sencha Senpai зеленый (1.75г x 20шт), 35г",https://online.metro-cc.ru/products/althaus-royal-sencha-senpai-zelenyj-v-paketikah-20-175g,449,,ALTHAUS
